COMID,Region,BFS_All,BFS_West,BFS_East,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
15283746,East,1,0,1,8030201,128.663,25.1325,34.1986,152.4,0,0.00037267,3,67.3758
15284904,East,1,0,1,8030201,129.8693,20.2447,23.3175,152.4,0,0.00098733,1,31.3623
15284848,East,1,0,1,-9999,114.1611,26.9791,19.1669,152.4,0,0.00253228,1,-9999
15284492,East,1,0,1,8030201,124.4848,22.0888,31.6379,152.4,0,0.00001,1,82.9485
15276506,East,1,0,1,8030203,103.6204,19.92,32.43,152.4,0,0.00507004,1,7.2603
15276562,East,1,0,1,8030203,113.675,19.5527,29.7403,152.4,0,0.00256809,1,14.2785
15276080,East,1,0,1,8030203,105.1826,19.92,32.3858,152.4,0,0.00161971,1,9.8802
15276116,East,1,0,1,8030203,103.2163,19.92,32.43,152.4,0,0.00256714,1,7.0272
15276872,East,1,0,1,8030203,88.0074,18.8848,24.2324,152.4,0,0.0068044,1,10.1223
15276900,East,1,0,1,8030203,61.606,14.15,10.3504,152.4,0,0.00001,3,1575.794
15288024,East,1,0,1,8030201,103.5903,23.9956,35.7558,148.2155,0,0.00001,3,327.1914
15286748,East,1,0,1,8030201,118.4532,21.9229,35.6761,151.4412,0,0.00170809,1,41.517
15288420,East,1,0,1,8030201,101.1353,23.6767,22.503,152.3598,0,0.00135095,1,60.0957
15288488,East,1,0,1,-9999,95.9478,27.6067,23.7813,151.465,0,0.00324404,3,-9999
15288074,East,1,0,1,-9999,90.8951,21.62,16.0913,152.4,0,0.00001,2,-9999
15285878,East,1,0,1,-9999,94.8809,20.8485,25.4602,152.4,0,0.00023655,1,-9999
15285976,East,1,0,1,8030201,146.9718,22.1356,36.4102,152.4,0,0.00054393,0,19.3518
15285498,East,1,0,1,8030201,104.996,24.2813,25.7713,152.4,0,0.00300624,1,35.0928
15285616,East,1,0,1,8030201,101.3144,17.6618,44.949,152.4,0,0.00273344,1,26.8722
15275226,East,1,0,1,8030203,95.6477,21.7762,29.481,152.4,0,0.0033514,1,35.5878
15275312,East,1,0,1,8030203,95.4208,17.5507,8.9272,152.4,0,0.00149435,1,25.2342
15274924,East,1,0,1,8030203,107.4113,23.5,22.4253,152.4,7,0.00220518,1,21.7188
15275134,East,1,0,1,8030203,72.3761,15.9907,9.5371,152.4,0,0.00001,2,161.9703
15275174,East,1,0,1,8030203,90.1457,16.6709,9.3967,152.4,0,0.00228471,1,35.1009
15275148,East,1,0,1,8030203,93.306,23.0436,27.9074,152.4,0,0.0029346,1,36.6336
15275956,East,1,0,1,8030203,116.8893,19.6123,29.8623,152.4,7,0.00598347,1,10.6497
15275720,East,1,0,1,8030203,112.9887,17.8638,18.9271,152.4,0,0.00187714,1,17.514
15274656,East,1,0,1,8030203,123.5196,23.1727,27.3991,152.4,0,0.00621965,1,4.563
